store_number,store_name,address,phone_number,store_hours,latitude,longitude,state,country,county,country_code,geo_accuracy
294,Ipoh Garden,"No. 79 Jalan Dato' Lau Pak Khuan, Ipoh Garden, 31400 Ipoh, Perak",1165422881,Mon - Fri: 10:30 AM - 11:00 PM Sat - Sun: 10:30 AM - 11:00 PM,4.6123654,101.1085281,PRK,Malaysia,,MY,STREET_ADDRESS: RANGE_INTERPOLATED
282,Slim River,"No. 8 & 10, Jalan Makmur Utama, Taman Slim Makmur, 35800 Slim River, Perak",54520317,Mon - Fri: 10:00 AM - 8:00 PM Sat - Sun: 10:00 AM - 8:00 PM,3.8412699,101.3971617,PRK,Malaysia,,MY,PREMISE: GEOMETRIC_CENTER
,Sentul Raya,"No. 8, JALAN 14/48A, The Boulevard Shop Office, Off Jalan Sentul, 51000 Kuala Lumpur",340501843,Mon - Fri: 8:00 AM - 11:00 PM Sat - Sun: 8:00 AM - 11:00 PM,3.0713767,101.7449993,Wilayah Persekutuan Kuala Lumpur,Malaysia,,MY,STREET_ADDRESS: RANGE_INTERPOLATED
10,Cheras Taman Pertama,"No. 9, Jalan 2/90, Taman Pertama Cheras, 56000 Kuala Lumpur",392013046,Mon - Fri: 8:00 AM - 11:00 PM Sat - Sun: 8:00 AM - 11:00 PM,3.1113849,101.7300053,SGR,Malaysia,,MY,PREMISE: ROOFTOP
24,Pandamaran,"No. 9, Jalan Batu Unjur, Pandamaran, 42000 Port Klang, Selangor",333182498,Mon - Fri: 9:00 AM - 11:00 PM Sat - Sun: 9:00 AM - 11:00 PM,3.0160431,101.4246732,SGR,Malaysia,,MY,STREET_ADDRESS: ROOFTOP
183,Malim Jaya,"No. 9, Jalan PPM 9, Plaza Pandan-Malim Business Park Balai Panjang, 75250 Melaka",63320254,Mon - Fri: 9:00 AM - 11:00 PM Sat - Sun: 9:00 AM - 11:00 PM,2.2292176,102.2254686,MLK,Malaysia,,MY,POLITICAL: APPROXIMATE
126,Kuala Pilah,"No. 907, Jalan Raja Melewar, 72000 Kuala Pilah, Negeri Sembilan",64810589,Mon - Fri: 10:00 AM - 11:00 PM Sat - Sun: 10:00 AM - 11:00 PM,2.737256,102.246151,PHG,Malaysia,,MY,STREET_ADDRESS: ROOFTOP
348,Desaru,"No. 95, Jalan Jelutong 1, Taman Desaru Utama, Bandar Penawar, 81930 Kota Tinggi, Johor",78861320,Mon - Fri: 10:00 AM - 10:00 PM Sat - Sun: 10:00 AM - 10:00 PM,1.7385036,104.1466046,JHR,Malaysia,,MY,POSTAL_CODE: APPROXIMATE
138,"Taman TAS, Kuantan","No. A1, Ground to 2nd Floor, Lorong Pandan Damai 2/2, Taman Pandan Permai, Batu 7, Taman Tas, 26070 Kuantan, Pahang",95381603,Mon - Fri: 9:30 AM - 8:00 PM Sat - Sun: 9:30 AM - 8:00 PM,3.7709322,103.2341494,PHG,Malaysia,,MY,PREMISE: GEOMETRIC_CENTER
433,Batu Pahat Mall,"No. G05, Ground Floor, Batu Pahat Mall, 83000 Batu Pahat, Johor",74377856,Mon - Fri: 10:00 AM - 9:00 PM Sat - Sun: 10:00 AM - 9:00 PM,1.8638514,102.9620855,JHR,Malaysia,,MY,PREMISE: GEOMETRIC_CENTER
